context,label
408548 -950490 455252 ,0
105525 -8261197 155672 ,1
-614215 350662 93629 ,0
-332369 -2248251 6735127 -1163180 ,1
6763196 3455333 4738658 -6450897 -8021860 ,0
48586465 -75965122 92822913 -23056179 -42388077 ,1
-68764049 -46168975 114933024 ,1
97347 -10713 -43320 -35307 ,0
-226735306 -765015786 1074958556 167013657 -393245522 ,0
-503335141 72380645 -467315714 46844399 ,1
52271 -8122 24610 -86372 ,0
-364456 768495 -345433 -58686 ,1
-5772 2864 241643 135847 -395631 ,1
-51858407 -44599 -285388238 ,0
1383944 -2961383 8790039 -317502 -6595098 ,1
-126092726 801010499 -67491777 ,1
-46722 -86130 101328 31524 ,1
7426134 5813104 -3837643 -8955835 -4457 ,1
-199521 -184644 553845 -69680 33116 ,0
-8132464 1512326 -2420898 3831833 -3759746 ,0
-640338760 -40615612 -76114183 581969091 175099464 ,1
-9846083 10390547 34481345 ,0
-189652 -29283 482491 ,1
-27841175 50776506 -45719281 38014206 -15230326 ,1
-204 2222 -4 787 ,0
-523907 -36694 -13668 960124 -616205 ,0
80202 172841 -208027 ,0
4203 -3635 -56 ,1
-164 -5053 -4944 9963 1679 ,1
-3484 4981 -1567 ,1
-341807726 -308570979 650378705 ,1
-25328298 -99678944 617323244 -264361316 ,1
5334008 2786807 7075125 -3328553 -788586 ,0
54783 -77305 57709 755 ,0
5549 23955 -8834 58837 ,1
158183182 -118833802 -587106220 -177015423 46226295 ,0
-74 4818 -1998 ,0
331 -2391 1548 -348 ,1
6775394 -4410419 -1118185 ,0
-70691705 60078257 44964270 -80482863 46132041 ,1
77564 67238 -755 -24995 ,0
-2878 966 6870 4849 ,0
-522184622 -11117194 192563934 87727189 353010693 ,1
-547986 -682500 1030055 316757 -116326 ,1
-59120 75342 -7594 -8628 ,1
-109070 26 46044 ,1
-670894755 314557037 959458107 ,0
9677689 457880 -42262760 -32643109 4770300 ,1
6669559 3188120 -80360115 -6538101 57040537 ,1
275722 -642819 367097 ,1
-66247715 24783642 50201164 -9741987 ,0
-52325 17739 63191 -793 -20670 ,1
