context,label
"Bauer, Kelly and Melendez Ltd",1
  e firstname initial,3
"Roberson, Williams and Cruz Ltd",1
P   Statutory Retirement,3
se file Copy C For,3
STATEMENT OMB income taxable fail,3
David Squares Apt.  West Thomas DC,2
Cody Butler,0
"Bishop, Walton and Joseph and Sons",1
Thornton Well Lozanoview CA,2
Samuel Brown,0
Edward Martin,0
number compensation Federal income tax,3
"Castro, Sanders and Bryant and Sons",1
Ward-Alvarez Inc,1
initial Last name  Vonqualified,3
 Locality name IM ,3
Brandi Rose,0
"Jefferson, Brown and Horton Ltd",1
"Owens, Thomas and Howard Inc",1
Dunn and Sons Group,1
Statutory Retirement b employee plan,3
Jesus Streets Apt.  West Xavierstad WA,2
Douglas White,0
Jacob Thomas,0
Toni King,0
Jean Jacobs,0
State income tax  Local,3
Holt Glens Suite  North Carmen PA,2
Waller Ltd and Sons,1
"Salinas, Edwards and Hanna Ltd",1
Wright Trail Lake Michaelfort TX,2
Taylor Stanley,0
G  d E ,3
Russell Shoals Suite  West Alexandriaport WV,2
Young Inc PLC,1
State wages tips etc ,3
"Davis, Velazquez and Walker and Sons",1
Miguel Ramp South Samanthamouth NY,2
Brittany Burton,0
Hurst Lake Davidfort TX,2
Jeffrey Rapids Apt.  North Christopherberg AL,2
Matthew Carroll,0
White-Sanchez LLC,1
b Employer identification number compensation,3
Thomas Hernandez,0
Michelle Stephens,0
Jacob Mountains Apt.  Loriburgh NC,2
Elizabeth Salas,0
STATEMENT OMB No income taxable,3
address ZIP code  State,3
Federal income tax withheld c,3
Tommy Duncan,0
Richard Robles,0
Social security wages Social security,3
Alexis Glens Suite  South Melissabury WI,2
Julia Nelson,0
West-Krause and Sons,1
Andrew Moody,0
"Stevenson, Patterson and Cook Ltd",1
Burns and Sons Inc,1
"Howell, Gill and Bailey Group",1
Gutierrez-Callahan Inc,1
"Rodriguez, Jennings and Olson Inc",1
Barker-Gregory and Sons,1
Richardson Expressway Cruzfurt OR,2
 Wage Tax  Department,3
Sheri Bridge New Steve DC,2
Jackson-Jones Inc,1
 Statutory Retirement b employee,3
Retirement b employee plan sickpay,3
c G  d f,3
Morgan Nguyen,0
Kristina Center South Michael GA,2
Katherine Johnson,0
Darrell Row Apt.  Kelleyshire DC,2
Adams Pass Stevensmouth OR,2
Federal income tax withheld c,3
"Juarez, Bruce and Wright Group",1
James Flores,0
Donna Turnpike Suite  South Sara SC,2
Alexandra Lindsey,0
"Wilson, Juarez and Young PLC",1
"James, Harrell and Orozco Ltd",1
Internal Revenue If required file,3
Kelly Buchanan,0
Hurley Inc and Sons,1
Mark Street Lake Ronniestad VA,2
Williams Ltd Group,1
Kenneth Ramsey,0
E   Statutor Retirement,3
Morgan Reyes,0
Sparks Ltd Inc,1
Curtis Young,0
Mullen Turnpike Jonathanport MD,2
wages tips etc  Local,3
se file Copy C For,3
Brandy Stanley,0
E   Other enclosed,3
Cantrell Drive Apt.  Robertshire PA,2
Bell Light Lake Morganfurt IA,2
Russell Kelley,0
Winters Viaduct Apt.  East Natalie WI,2
Keep lower portion REISSUED social,3
Sandra Dean,0
Bond Group Ltd,1
Boone Mountain Port Crystal MT,2
James Via Apt.  Maryshire ME,2
Garrett-Gilbert Inc,1
Smith Cape Masseyfurt AR,2
"Wilson, Caldwell and Landry Ltd",1
nsew file b Employer identification,3
Local wages tips  Local,3
Wise-Russell Inc,1
"Gonzalez, Brown and Willis Inc",1
Barber Curve Port Bernardburgh SD,2
Laura Lawson,0
Copy Be Filed FEDERAL Tax,3
sickpay X   Other,3
Service Form Statement Copy Be,3
James Bray,0
Hunt-Davis Group,1
Amy Ports West Donnaville CT,2
Victoria Morales,0
Katie Green,0
OMB Use asev file b,3
Earl Taylor,0
wages Social security tax withheld,3
Stone Rue New Mauricechester MI,2
Armstrong PLC Ltd,1
Curtis Creek Apt.  Robertobury MS,2
Christopher Duncan,0
Tommy Rest Harperberg TN,2
Vanessa Christensen,0
Lang-Cooke Ltd,1
 Local income tax ,3
Jimmy Griffin,0
Daniel Cooke,0
Dean Causeway Suite  Davidmouth TX,2
Amanda Blake,0
"Hodges, Kelly and Marquez Inc",1
John Scott,0
Williamson Pine Suite  East Keithville AK,2
Vasquez Stravenue Fernandezshire AZ,2
Flores Ltd Ltd,1
State income tax  Local,3
 State  State income,3
  Other enclosed Notice,3
Lopez Group Ltd,1
tax withheld Social security tips,3
"Howell, Scott and Cox Ltd",1
Jarvis PLC Ltd,1
Bauer-Singh Inc,1
Tracey Village Beverlytown MD,2
Jones Inc Group,1
d D  f address,3
"Bell, Reyes and Yoder and Sons",1
Jessica Glens Gloriaborough NE,2
Michael Carroll,0
Russell Junctions Apt.  North Tammy MO,2
Ramirez Cliff Apt.  South Josephville KS,2
report b Employer identification number,3
Garrett Plains Robertsonburgh HI,2
Revenue Service Form Statement se,3
Hill-Sharp and Sons,1
Dominique Randolph,0
Johnson Landing New Timothyland AZ,2
"Webb, Stevens and Martinez Ltd",1
Garcia Mountains Rodneyview NH,2
Department Revenue Service Form Statement,3
Return This information furnished Internal,3
Melissa Manor Suite  North Kelsey OK,2
Archer-Collins PLC,1
Williams Loaf Byrdberg FL,2
Miss Samantha,0
Anna Price,0
number compensation Federal income tax,3
State wages tips  State,3
employee plan sickpay X D,3
e first name initial Last,3
Joel Pham,0
"Cortez, Williams and Gilbert and Sons",1
Joann Lopez,0
James Lane Apt.  Ashleyfurt HI,2
Donna Coves Kellybury CT,2
Stacy Cowan,0
Castillo-Torres Ltd,1
Case Ranch Apt.  West Joseph TN,2
tax  Local wages tips,3
Susan Wilson,0
Scott Track Blackborough CA,2
Guzman Loop Suite  North Robert LA,2
Sharp Cove Suite  Zavalaville CA,2
John Valley Suite  East Juanchester WV,2
withheld Social security tips Allocated,3
Christopher Village Suite  South Allison SC,2
Cruz Cove Snyderburgh AZ,2
Collins Alley Suite  Lake Isaactown AL,2
Joanna Ports Suite  South Alicia VT,2
Henderson Fork South Jonathan OK,2
Monica Norris,0
Miranda PLC Group,1
Susan Montgomery,0
code Social security wages Social,3
Miles-Howard and Sons,1
Richard Streets Suite  Port Williamhaven FL,2
Jeremy Walks Rosshaven SD,2
Advance EIC payment  Dependent,3
Steve Mall Port Mackenzieborough VA,2
tax  Local  Local,3
Thomas-Williams Inc,1
plan sickpay x H ,3
tax negligence penalty sanction may,3
Samantha Brooks,0
Rebecca Lee,0
"Mccarty, Austin and Phillips PLC",1
Christopher Ramos,0
Virginia Wyatt,0
Hannah Williams,0
Zachary Wright,0
  Other enclosed Notice,3
Jennifer Radial Suite  South Curtisberg WY,2
"Coleman, Odom and Evans Ltd",1
Elizabeth Marshall,0
Patty Roads Apt.  New Joshuatown RI,2
Thomas Curve Apt.  Loganborough ME,2
Tax  Department Revenue Service,3
Victoria Land West David HI,2
Kenneth Jenkins,0
 Local income tax ,3
Webb Circle Apt.  Lake Amy RI,2
Wilkins Mountains Suite  Donaldville DC,2
Walker Gardens Apt.  Toddbury MI,2
Jessica Mckinney,0
Melissa Gardens Apt.  North Donald DC,2
Wayne Jensen,0
    Statutory,3
e firstname initial Last name,3
Mcneil Drive Apt.  New Tony AZ,2
Douglas Vista Suite  Kathleenburgh IA,2
Terry Inc and Sons,1
Michele Wood,0
 State income tax ,3
"Brown, Boyd and Bernard Ltd",1
Williams Group LLC,1
"Nelson, Morton and Colon and Sons",1
Zachary Brook Lorraineland MI,2
Cisneros-Gonzalez Ltd,1
 Department Revenue Service Form,3
box   P ,3
Raymond Ray,0
Garcia Shoals Suite  Brownstad ME,2
 State income tax ,3
Reynolds Ltd Inc,1
"Norris, King and Ward and Sons",1
identification number compensation Federal income,3
wages Social security tax withheld,3
a See instructions box ,3
Karen Martin,0
Jennifer Woods,0
Federal income tax withheld ,3
tax  Local wages tips,3
Hodges-Lopez and Sons,1
sick pay x E ,3
"Cook, Dawson and Ochoa and Sons",1
Reid-Espinoza Ltd,1
Sanders Group Inc,1
Reyes-Hill LLC,1
Victoria Stewart,0
Brenda Orchard Apt.  Lake Alexandra UT,2
Benjamin Parkways Port Tammy AL,2
income taxable fail report b,3
Mercado-Reynolds and Sons,1
Paul Gardner,0
Angela Sawyer,0
Kayla Morales,0
Jeffrey Escobar,0
wages tips etc  Local,3
Kyle Ortiz,0
benefits   e first,3
Heidi Schmitt,0
Caroline Harris,0
Medicare wages tips Medicare tax,3
Amber Koch,0
Porter and Sons LLC,1
Mcdaniel PLC PLC,1
Revenue Service Form Statement se,3
Kevin Vista Apt.  Port Tyler IL,2
income tax withheld c ZIP,3
Walter Perry,0
  Other enclosed Notice,3
Brett Fields,0
Erin Plains East Brianberg CA,2
Locality name Wage Tax ,3
"White, Garner and Allen Ltd",1
Christian Armstrong,0
John Yates,0
Dudley Manor Apt.  Noblehaven NE,2
Crystal Tunnel Suite  Hallland OR,2
"Hurley, Brewer and Anderson LLC",1
Coffey Street Ingramview NY,2
Rebecca Mountains Lake Ericton VA,2
Stephanie Dean,0
"Hudson, Goodman and Martinez and Sons",1
  Other enclosed Notice,3
Advance EIC payment Dependent care,3
Andrea Johnson,0
Hamilton-Thompson and Sons,1
security number This information furnished,3
Foster PLC LLC,1
Joseph Watson,0
Jenny Frye,0
a See instructions forbox ,3
Ramos Heights Suite  Jensenburgh NE,2
Mike King,0
Johnson Group and Sons,1
David Matthews,0
James Point Port Heather VT,2
Novak Stream Port Kevinville NJ,2
Kelly Hills Suite  Stoneside PA,2
Larry Row Suite  South Ericton NJ,2
Billy Forge South Ericview PA,2
Webster Trail Port Jeremychester ME,2
Jennifer Burgs New Hannahborough VT,2
Summers Pass Suite  Woodburgh MO,2
Ramos LLC Group,1
"Casey, Mcfarland and Gibson Group",1
Susan Castro,0
Matthew Phelps,0
"Freeman, Gomez and Wright Ltd",1
Charles Knolls Suite  South Mistyborough MD,2
  State state ID,3
tips Control number Advance EIC,3
identification number compensation Federal income,3
David Herrera,0
Local  Local income tax,3
Johnson Harbors Suite  Thomasmouth NV,2
Use nsew file b Employer,3
Locality name Wage Tax ,3
tips Control number Advance EIC,3
compensation Federal income tax withheld,3
payment  Dependent care benefits,3
OMB No income taxable fail,3
Sarah Key Apt.  Brownchester GA,2
tax withheld Social security tips,3
Garcia Meadows Apt.  Jessicafort VT,2
Cook-Rivera Group,1
 Department Revenue Service Form,3
file b Employer identification number,3
"White, Romero and Patel PLC",1
security number This information furnished,3
ZIP code  State state,3
Dixon-Cruz LLC,1
Jeffery Spur Franklinbury UT,2
number Advance EIC payment Dependent,3
  G  ,3
Social security tax withheld Medicare,3
IRS Website STATEMENT OMB Use,3
Dependent care benefits  ,3
Franklin Group Group,1
James Wilson,0
James Grove East Mariah VA,2
John Harris,0
Cardenas-Mora PLC,1
Steven Hernandez,0
Wilkinson Mall Suite  North Lisa WV,2
John Bell,0
Jamie Snyder,0
Perez Stravenue Andrewview NH,2
Brent Alexander,0
Tammy Taylor,0
Black-Miller PLC,1
Nicole Club Apt.  West Loristad ND,2
compensation Federal income tax withheld,3
Lisa Webb,0
STATEMENT OMB Use nsew file,3
Spears Ltd and Sons,1
Conner Pike Suite  East Victoria VT,2
Espinoza Glen Suite  Elizabethchester NY,2
Jose Turnpike New Elizabethstad CO,2
Smith LLC Group,1
sanction may imposed STATEMENT OMB,3
Bass PLC Group,1
"Solomon, Ward and Stephens and Sons",1
Hall Radial Apt.  Port Trevormouth NE,2
Megan Dixon,0
security wages Social security tax,3
Connor Scott,0
James Green,0
benefits   e first,3
Judith Villages Knightfurt NJ,2
Katherine Parks,0
Lisa Ellis,0
furnished Internal Revenue If required,3
Soto-Jackson PLC,1
Matthew Sutton,0
e first name initial Last,3
Service Form Statement Copy Be,3
Mclaughlin Rapids Lake Josephberg IN,2
"Moreno, Burns and Wilkinson PLC",1
James Wyatt,0
Ruiz-Nelson Inc,1
Hall Mill Lake Morganview MI,2
Michael Terry,0
 Department Revenue Service Form,3
Mary Dickerson,0
Russell Smith,0
Ryan Key Suite  Tracyberg KS,2
Henry Davis,0
firstname initial Last name ,3
"Jones, Reese and Lawson Ltd",1
Allocated tips Control number Advance,3
tips Control number Advance EIC,3
Aguilar-Mcmillan PLC,1
ZIP code P  ,3
Robert Gill,0
Lisa Martinez,0
Tax  Department Revenue Service,3
Erin Inlet Suite  New Alec AL,2
Hubbard Pass Chenbury SD,2
Castaneda-David and Sons,1
Lynn Ford Mooreside NH,2
Justin Hernandez,0
Joel Swanson,0
Horn Station Suite  East Peterfurt AK,2
"Hall, Mills and Jones Group",1
Wade Cape Suite  South Monicaberg IA,2
Mendez-Walker and Sons,1
"Nichols, Sweeney and Carey and Sons",1
Michael Well Gregoryhaven OH,2
William Sanchez,0
Carl Lakes Suite  Antonioborough GA,2
Wilson and Sons Group,1
Dylan Berger,0
Logan Parkway Apt.  West Janefort AR,2
Vickie Gibson,0
State state ID number ,3
ZIP code Social security wages,3
Jodi Reid,0
Sandra Spencer,0
"Ramirez, Martin and Dyer LLC",1
Advance EIC payment Dependent care,3
John Osborne,0
E  d G ,3
STATEMENT OMB Use b Employer,3
Michelle Mall East Angelica NJ,2
Jessica Bean,0
state ID number  State,3
John Lozano,0
Vincent Haven South Jeffrey TN,2
Internal Revenue If required file,3
Arnold Underpass Lake Sarahtown DC,2
etc  State income tax,3
"Aguilar, Richards and Nichols PLC",1
Internal Revenue Cut Keep lower,3
Elizabeth Wells,0
Melissa Crawford,0
Aguirre Ltd and Sons,1
Gail Miller,0
Shaw and Sons Group,1
Edwin Miller,0
Jennifer Lewis,0
Parks Avenue Suite  Denisechester AK,2
Davis-Smith Inc,1
Zhang-Sanchez LLC,1
ZIP code  State state,3
Kristopher Drive East Danielport SC,2
Preston Ltd Group,1
Social security tax withheld Medicare,3
Harris Inc LLC,1
code  State state ID,3
Erin Ayala,0
Dependent care benefit  ,3
Marc Walker,0
Harris Isle New Patriciastad ME,2
Catherine Taylor,0
Campbell Park Bestfort NV,2
Bailey LLC Group,1
"Snyder, Harding and Montoya PLC",1
Taylor-Salinas Inc,1
Sarah Perez,0
taxable fail report b Employer,3
Lisa Haven Andrewshire NV,2
King Heights Lake Alberttown DE,2
"Villegas, Hill and Stephens LLC",1
Return This information furnished Internal,3
Matthew Fisher,0
initial Last name  Nonqualified,3
Beth Fernandez,0
"Walker, Mcpherson and Chen Group",1
Glenn Keith,0
 d D  f,3
Kimberly Miller,0
Price Inc PLC,1
Lori Harvey,0
Department Revenue Service Form Statement,3
tax withheld Medicare wages tips,3
Stephanie Estates Garciaburgh DE,2
tips etc  State income,3
Fisher LLC LLC,1
"Spears, Cisneros and Taylor and Sons",1
Dependent care benefits  ,3
Jennifer Meyers,0
Lastname  Nonqualified plans a,3
tips Control number Advance EIC,3
wages tips Medicare tax withheld,3
Bradley Forks Suite  South Johnport MD,2
"Snyder, Osborne and Davis LLC",1
Statutory Retirement b employer plan,3
Freeman-Rodgers LLC,1
Blanchard PLC Inc,1
Felicia Greens Dixonfurt OK,2
Phillip Neal,0
Taylor Jimenez,0
withheld Medicare wages tips Medicare,3
Melissa Rice,0
Paul Ports Apt.  Hudsonbury KS,2
Tony Adams,0
Sara Cortez,0
"Mcdowell, Anderson and Shea Group",1
Rhodes LLC and Sons,1
Meredith Land Torreschester RI,2
Mccoy-Jackson Inc,1
report b Employer identification number,3
ID number  State ,3
Murray-Pearson Group,1
Heather Love,0
Baker-White and Sons,1
Mark Islands Apt.  East Kristinfurt CT,2
Hayes Camp Annaview SD,2
Christopher Arias,0
Bell Skyway Suite  Eatonchester FL,2
Kim Ports Suite  Wilsonborough RI,2
Julie Glens Suite  North Heather MT,2
Gregory Hart,0
Beth Nicholson,0
social security number nsew file,3
Notice c d  f,3
b Employer identification number compensation,3
Sarah Brandt,0
E   State state,3
Richard Martin,0
"Walker, Patel and Mccarty Group",1
Juan Wade,0
wages Social security tax withheld,3
Nicole Moyer,0
Kelsey Fork West Christy IN,2
security tax withheld Medicare wages,3
Mary Perry,0
Revenue Cut Keep lower portion,3
Melanie Hardin,0
  Statutory Retirement b,3
Lopez-Kelley and Sons,1
Rodriguez Inc Group,1
Robinson PLC Ltd,1
Janet Common Suite  Davisborough ME,2
Cochran Harbors Apt.  New Javier MI,2
Jeffrey Anderson,0
Control number Advance EIC payment,3
