,context,label
0,"Bauer, Kelly and Melendez Ltd",1
1,  e firstname initial,3
2,"Roberson, Williams and Cruz Ltd",1
3,P   Statutory Retirement,3
4,se file Copy C For,3
5,STATEMENT OMB income taxable fail,3
6,David Squares Apt.  West Thomas DC,2
7,Cody Butler,0
8,"Bishop, Walton and Joseph and Sons",1
9,Thornton Well Lozanoview CA,2
10,Samuel Brown,0
11,Edward Martin,0
12,number compensation Federal income tax,3
13,"Castro, Sanders and Bryant and Sons",1
14,Ward-Alvarez Inc,1
15,initial Last name  Vonqualified,3
16, Locality name IM ,3
17,Brandi Rose,0
18,"Jefferson, Brown and Horton Ltd",1
19,"Owens, Thomas and Howard Inc",1
20,Dunn and Sons Group,1
21,Statutory Retirement b employee plan,3
22,Jesus Streets Apt.  West Xavierstad WA,2
23,Douglas White,0
24,Jacob Thomas,0
25,Toni King,0
26,Jean Jacobs,0
27,State income tax  Local,3
28,Holt Glens Suite  North Carmen PA,2
29,Waller Ltd and Sons,1
30,"Salinas, Edwards and Hanna Ltd",1
31,Wright Trail Lake Michaelfort TX,2
32,Taylor Stanley,0
33,G  d E ,3
34,Russell Shoals Suite  West Alexandriaport WV,2
35,Young Inc PLC,1
36,State wages tips etc ,3
37,"Davis, Velazquez and Walker and Sons",1
38,Miguel Ramp South Samanthamouth NY,2
39,Brittany Burton,0
40,Hurst Lake Davidfort TX,2
41,Jeffrey Rapids Apt.  North Christopherberg AL,2
42,Matthew Carroll,0
43,White-Sanchez LLC,1
44,b Employer identification number compensation,3
45,Thomas Hernandez,0
46,Michelle Stephens,0
47,Jacob Mountains Apt.  Loriburgh NC,2
48,Elizabeth Salas,0
49,STATEMENT OMB No income taxable,3
50,address ZIP code  State,3
51,Federal income tax withheld c,3
52,Tommy Duncan,0
53,Richard Robles,0
54,Social security wages Social security,3
55,Alexis Glens Suite  South Melissabury WI,2
56,Julia Nelson,0
57,West-Krause and Sons,1
58,Andrew Moody,0
59,"Stevenson, Patterson and Cook Ltd",1
60,Burns and Sons Inc,1
61,"Howell, Gill and Bailey Group",1
62,Gutierrez-Callahan Inc,1
63,"Rodriguez, Jennings and Olson Inc",1
64,Barker-Gregory and Sons,1
65,Richardson Expressway Cruzfurt OR,2
66, Wage Tax  Department,3
67,Sheri Bridge New Steve DC,2
68,Jackson-Jones Inc,1
69, Statutory Retirement b employee,3
70,Retirement b employee plan sickpay,3
71,c G  d f,3
72,Morgan Nguyen,0
73,Kristina Center South Michael GA,2
74,Katherine Johnson,0
75,Darrell Row Apt.  Kelleyshire DC,2
76,Adams Pass Stevensmouth OR,2
77,Federal income tax withheld c,3
78,"Juarez, Bruce and Wright Group",1
79,James Flores,0
80,Donna Turnpike Suite  South Sara SC,2
81,Alexandra Lindsey,0
82,"Wilson, Juarez and Young PLC",1
83,"James, Harrell and Orozco Ltd",1
84,Internal Revenue If required file,3
85,Kelly Buchanan,0
86,Hurley Inc and Sons,1
87,Mark Street Lake Ronniestad VA,2
88,Williams Ltd Group,1
89,Kenneth Ramsey,0
90,E   Statutor Retirement,3
91,Morgan Reyes,0
92,Sparks Ltd Inc,1
93,Curtis Young,0
94,Mullen Turnpike Jonathanport MD,2
95,wages tips etc  Local,3
96,se file Copy C For,3
97,Brandy Stanley,0
