context,label
suweyda rupley,0
reissued a employee's social security number,2
ericc timpson,0
reissued employee's social security number,2
b employer identification number,2
11 nonqualified plans,2
department of the treasury--internal revenue service,2
reset spain,1
boman communications/pr network denmark,1
3 statutor retirement third-party 126,2
13 statutory retirement third-party 126,2
social security tax withheld,2
"wages, tips, other compensation",2
social security tax withheld,2
fearghal spira,0
cut here. keep lower portion for your records.,2
shvonne holms,0
combix inc.,1
13 statutory retirement third-party 12b,2
kenzye goga,0
odran vallelonga,0
jaymin reisch,0
opulent realty,1
nakeita emdee,0
navadah ramjeet,0
casein nadine,0
iresha capati,0
016 pam stravenue apt. 006,2
department of the treasury--internal revenue service,2
xmx,1
power brands ltd,1
roselind avarbuch,0
spss limited,1
clines rabold,0
hemleta opiola,0
"scholastic sports services, inc.",1
gilmartin podolak,0
constanze aleesha,0
waymore,1
future fuels limited,1
nehru homoeopathic medical college & hospital,1
maiga arlia,0
squash,1
iokepa cherrette,0
lesle corum,0
lianny len,0
social security tax withheld,2
medicare wages and tips,2
instinet pacific services limited,1
ryon juve,0
e employee's first name and initial last name,2
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
lillie beckendorf,0
wildee camaron,0
murguia bisaillon,0
dayron bormuth,0
symponia,1
von-grap advogados,1
action emploi,1
coleton urbas,0
emonkey marketing,1
wage and tax,2
360 home inspections llc,1
baelynn wimble,0
cadence-lee guidetti,0
power-wheels,1
roben chey,0
medicare tax withheld,2
d control numb,2
ruiz-millan rooke,0
diorios,1
sullivantown la 11138-1066,2
b employer identification number,2
cervesia tecnologia cervejeira,1
khiri adkins,0
e employee's first name and initial last name,2
hotels rewards lb,1
beacher sprout,0
millay sanjuan,0
wage and tax,2
beqir jaynes,0
nyrell henry,0
department of the treasury--internal revenue service,2
perrier tp,1
reissued a employee's social security number,2
"effect comunicação, lda",1
norbu everage,0
ensemble scolaire notre dame,1
this information is being furnished to the internal revenue service. if you are required,2
f employee's address and zip code,2
b employer identification number,2
brystal vancura,0
kathrynann whitebird,0
camden show society,1
fanter atay,0
edelweiss eskind,0
bisson lupfer,0
grupo astor,1
hermance carmello,0
12a see instructions for box 12,2
north anita tx 93154-3766,2
de 466-92-764 23021 .44 3176.34 62605.72 6247. 67 rowe valleys,2
b employer identification number,2
locomotion,1
dans cycle,1
lorelie obey,0
13 statutory retirement third-party 12b,2
omaida staudt,0
reissued a employee's social security number,2
sparebank 1 forsikring as,1
apposite capital llp,1
faima sant,0
"usbergo, inc",1
owensbury ar 85542-7318,2
yadria beetz,0
saab law group,1
lakesia narander,0
benboa,1
copy b--to be filed with employee's federal tax return,2
fiorenza labelle,0
b employer identification number,2
west jenniferborough ks 40133- 14 other (see enclosed notice to employee) | 12c 707,2
reissued a employee's social security number,2
south kyle fl 37965-3104,2
sager elko,0
crescent accountancy solutions limited,1
gartencenter münsterland,1
pillucere gonzalez-gonzalez,0
east matthew nm 85336-2561,2
"safe, accurate, se ~ file",2
khian kipka,0
trennan dudziak,0
medicare tax withheld,2
11 nonqualified plans,2
entered apprentice pictures,1
wage and tax,2
lizza neiffer,0
chukker.tv,1
valeire boshell,0
fridholm & partners ab,1
obbard magana,0
dyals monks,0
busy season staffing solutions psc,1
lisveth skokan,0
medicare tax withheld,2
cravings cafe gourmet express,1
goniodex constructions,1
194 gilbert rue,2
new catherine wy 93672-4822,2
performance sound s.c.a.r.l.,1
spark - your electric drive,1
alacrity technologies pvt. ltd.,1
copy c for employee's records.,2
watermark docklands,1
carolena keay,0
"safe, accurate, se file",2
hot nail salon,1
lashena berdecia,0
codington elementary school,1
this information is being furnished to the internal revenue service.,2
social security tips,2
jamayel kocka,0
chaney blaxton,0
nj 582-81-947 20867 . 88 1764.55 39562. 9,2
vitesse asesores,1
caneisha amberg,0
fédération du service aux particuliers (fesp),1
marcopolo nicar,0
f employee's address and zip code,2
maleka zurowski,0
elmer ambulance corps,1
nastafa annu,0
natarsha whitworth,0
ladaysia cruz-perez,0
bio crest pharma inc,1
visit the irs website,2
nikiea occhino,0
st. luke lutheran community,1
e employee's first name and initial last name,2
libório nagasawa,0
e employee's first name and initial last name,2
office national canning vale,1
omb no. 1545 -0008 this income is taxable and you fail to report it.,2
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc. 19 local income tax 20 locality name",2
luisjose reuer,0
paradisco,1
"safe, accurate, se file",2
viccora perr,0
reissued aemployee's social security number,2
omb no . 1545 -0008 this income is taxable and you fail to report it.,2
mosaico produzioni,1
montique ferribee,0
stichting rhiza,1
akitoshi bahamonde,0
e employee's first name and initial last name,2
d control number,2
adre matassa,0
kimberley-jo cobbins,0
muhammadmustafa septon,0
the energy credit union,1
jernej barmes,0
meridian services net,1
department of the treasury--internal revenue service,2
0681 tyler ports,2
"advantage: print, marketing and more",1
katsura wicklow,0
department of the treasury--internal revenue service,2
avishay ellicott,0
career club nhtv,1
central presbyterian church cambridge,1
b employer identification number,2
hippolyte gottman,0
employe plan sick pay,2
federal income tax withheld,2
darein steimle,0
munisa eon,0
"c employer's name, address, and zip code",2
lake dawn pa 27721-0412,2
mooc 7 semaines,1
najila cheng,0
lamadline hierrezuelo-zamora,0
maria mallaband care group,1
lake garystad oh 61460-8259,2
ilwaad vilandre,0
brand printing,1
eatdigital,1
integre consulting ltd,1
"safe, accurate, se file",2
kyonte nute,0
stepping stone foundation,1
(see enclosed notice to employee.),2
the best community bank in the world!,1
"16 state wages , tips , etc. 17 state income tax 18 local wages , tips , etc . 19 local income tax 20 locality name",2
lm marketing group srl,1
antwerp polo club,1
ets - european translation service,1
myjah okimoto,0
bvs trans tech,1
hampshire chambers of commerce,1
b employer identification number,2
"opus interim human resources, recruiting",1
hastings shopmobility,1
b employer identification number,2
f employee's address and zip code,2
south beach cleaning,1
gravesberg nv 58721-2511,2
social security wages,2
eparama mccornick,0
e employee's first name and initial last name,2
betterground (hk) ltd,1
llyall bonillas,0
philbert narinder,0
hezakiah pleppo,0
pangeox software solutions,1
umaamah rhue,0
copy c for employee's records.,2
public international law and policy group,1
6370 eileen village,2
ajkune scheyer,0
this information is being furnished to the internal revenue service.,2
"wages, tips, other compensation",2
employe lan sick pay,2
norsecraft geo ab,1
p j keary ltd,1
trooptravel - where do we meet?,1
mihe santaniello,0
edora herbolsheimer,0
waine strater,0
fm financial services,1
alila rosenblum,0
kestrel saulo,0
alvis/o'vallonjr hurm,0
alfamex,1
form w-2 statement,2
ohio property management,1
stevie-rose zollinger,0
emerson search llc,1
"16 state wages , tips , etc. 17 state income tax 18 local wages , tips , etc. 19 local income tax 20 locality name",2
social security tax withheld,2
71 nonqualified plans,2
piemontese social club,1
dalary markette,0
cut here. keep lower portion for your records.,2
14 other (see enclosed notice to employee) | 12c,2
14 other (see enclosed notice to employee) | 12c,2
thayne lacroix,0
superme,1
argyrios sisley,0
12a see instructions for box 12,2
makegood software,1
samuraiko productions,1
efimia sweep,0
12a see instructions for box 12,2
15 state employer's state id number,2
kresha beagan,0
sowar pvt ltd - india,1
maryland & virginia milk producers cooperative,1
reissued employee's social security number,2
orthopedic fixation systems,1
janei joyaa,0
social security wages,2
shynita muhlhauser,0
marketing mix consultancy,1
herman group real estate,1
sherrena schmeling,0
wage and tax,2
next-team,1
growing up inc.,1
hauselt gahl,0
ariatna marade,0
"wages, tips, other compensation",2
fault radio,1
social security tips,2
jaress linfante,0
nadina ellerkamp,0
softmakers bv,1
risk ™  limited corp,1
emilyton ms 01410-6496,2
gedling community & voluntary services,1
celeste san francisco,1
e employee's first name and initial last name,2
"diseños y estuches,s.a. de c.v./ grupo cristal joyas",1
"wages, tips, other compensation",2
medicare wages and tips,2
dependent care benefits,2
soart innovations ltd.,1
hotel am triller saarbrücken,1
hajra seppelt,0
summer- legra,0
"c employer's name, address, and zip code",2
ibbo nater,0
imajen reimund,0
prithvi group of companies,1
reann veeru,0
16746 corey cape suite 992,2
namaan grasmick,0
apereo foundation,1
44758 salinas viaduct,2
gillette import autowerks,1
14 other (see enclosed notice to employee) | 12c,2
75790 katherine stream suite 017,2
paredes valela,0
"all about people ltd - counselling services, leamington spa",1
visit the irs website,2
sunridge mall,1
kiry sueltenfuss,0
electrolux logistics italy spa,1
pyles oullette,0
akel sather,0
marozas perrotti,0
imhotep kovacs,0
9791 april mountains apt. 514,2
liquid leisure limited,1
medicare tax withheld,2
major medical supply,1
8 allocated tips,2
ctss,1
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
mykola throne,0
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
ppop,1
social security tax withheld,2
dependent care benefit,2
ford brothers inc. auctioneers,1
mahathi pregeant,0
lake paulaton al 32422-7836,2
reissued a employee's social security number,2
jy show tech group,1
department of the treasury--internal revenue service,2
medicare wages and tips,2
cherylfurt nh 46018-0790,2
6 medicare tax withheld,2
solutions financial,1
peitsa kline,0
bernardus enama,0
"safe, accurate, se ~ file",2
wage and tax,2
malabar house,1
wannette margaryan,0
ameliarae villatoro,0
aldrich berry farm & nursery,1
creativecow.net,1
north brendaborough mn 17439-6398,2
aaylah-rose bourgois,0
janaina phanord,0
eyoon ‬real estate and development,1
merrielle mcelmurry,0
eachainn leuenberger,0
quality dentistry for kids & grownups,1
nazgul normoyle,0
ok 276-11-828 92341. 45 3662 .0,2
ranada wedige,0
tx 621-42-334 134518.25 13917.31 291386.16 13947 . 24 sanders meadow,2
latarisha westman,0
oceanopolis,1
goepel electronics usa,1
modern design online design service co.,1
advance eic payment,2
btkzorg,1
moguel morlas,0
vt 820-76-699 94098.77 7081 . 58 154189 . 89 28296.77 sandra cliff,2
resource team company,1
alisonton al 62907-3812,2
brandise gribbin,0
digitalbits brazil,1
interiors by coastline,1
wage and tax,2
ashanjali laurent,0
dependent care benefits,2
hildebrand motors,1
e employee's first name and initial last name,2
donalisa photography llc,1
robann khushi,0
hiroma,1
gestione asesores,1
medicare wages and tips,2
federal income tax withheld,2
ehrhardt mcchesney,0
e employee's first name and initial last name,2
this information is being furnished to the internal revenue service. if you are required,2
vittalia internet,1
burd home health,1
11 nonqualified plans,2
calsta pty ltd,1
kram s.a. de c.v.,1
traevin geeta,0
reissued employee's social security number,2
chinani braunwarth,0
"the william lawrence group, llc.",1
ogochukwu groth,0
elfar linet,0
"wages, tips, other compensation",2
truman w smith ctr,1
diamondstad al 39753-0161,2
employee plan sick pay,2
10 dependent care benefit,2
estis,1
ii 233-91-771 24422. 51 2635.35 37690.63 7192.76 nicolas field,2
14 other (see enclosed notice to employee) | 12c 115,2
glacier bay capital,1
cassia attore,0
magication,1
artech consultoria,1
nazhir jong,0
department of the treasury--internal revenue service,2
marqurita abdullai,0
department of the treasury--internal revenue service,2
peak performance tennis academy hong kong,1
louree brundidge,0
kollege town,1
bronc kroetch,0
b employer identification number,2
3425 munoz village suite 319,2
13 statutory retirement third-party 12b,2
scholengroep 19 'dender',1
pod cubed,1
"c employer's name, address, and zip code",2
informacine raida,1
shiya radenheimer,0
berardinelli lorence,0
122272 . 62,2
lake alexandermouth ri 36627-8260,2
nathon soderquist,0
rickmeier gmbh,1
shintaro wichert,0
patriot phc,1
frosti mushett,0
13 statutory retirement third-party 12b,2
advance eic payment,2
spitzenreiter compressor technics,1
emilybury ca 96939-5532,2
maalikah chevrier,0
used vape inc,1
cutlor amidei,0
seira roehrman,0
medicare wages and tips,2
medicare wages and tips,2
production plastics,1
pedresa-romero dyches,0
maeryn jahid,0
shaheen & associates legal consultants,1
uc promark,1
"whitney johnson lpc, pllc",1
keller dobson,0
kennert struggs,0
nv 961-37-185 27927.28 1444 . 84 75337.99 9008 .2,2
6734 joseph vista,2
konica santos-ruiz,0
(see enclosed notice to employee.),2
soledade poister,0
aspire concepts,1
employe lan sick pay,2
rue candelario,0
"c employer's name, address, and zip code",2
aighleigh gott,0
unlimitech dental it,1
grs global,1
f employee's address and zip code,2
social security wages,2
paizlyn froedge,0
talip debanos,0
mobile monday sydney,1
sharusan lankswert,0
carolyn niforos,0
lehrer pegues,0
"wages, tips, other compensation",2
71 nonqualified plans,2
deleana comacho,0
scandinavian cosmetics group,1
f employee's address and zip code,2
social security wages,2
londonshortlettingapartments,1
lillyanna morawski,0
social security tips,2
dameian corbeil,0
dashwoods limited,1
lakreisha vollick,0
(see enclosed notice to employee.),2
taťjana raimann,0
hotel de notre dame,1
the gunn group llc,1
"cámara de comercio, industrias e inversión méxico – panamá (camexpa)",1
avient solutions group inc.,1
kareen canterbury,0
sipriano auclair,0
drivepad,1
surayyah figler,0
khadijiah verdell,0
eimy philen,0
samayoa marklund,0
medicare wages and tips,2
pallas networks gmbh,1
nyleigh natonabah,0
14 other (see enclosed notice to employee) | 12c,2
this information is being furnished to the internal revenue service. if you are required,2
"c employer's name, address, and zip code",2
caidan pasceri,0
ks 985-05-116 31126.14 2816.49 62184.42 9025.36 case knolls,2
ma 706-76-211 77158. 94 3862.11 201524.01 26574.21 bates unions,2
nomia fredette,0
10 dependent care benefit,2
karmya brinser,0
14 other (see enclosed notice to employee) | 12c,2
reissued employee's social security number,2
"przedsiębiorstwo konserwacji dźwigów ""lift-malko"" sp. j.",1
abdul-quddus ebenal,0
running.coach,1
(see enclosed notice to employee.),2
"inovsea, lda.",1
form w-2 statement,2
merethe vogelsang,0
nayeliz vandersloot,0
brandamp media group,1
agusti y cia limitada,1
24541 maria canyon,2
corren saggese,0
agencja greenfly,1
ceyhan seppanen,0
"16 state wages , tips , etc . 17 state income tax 18 local wages, tips, etc 19 local income tax 20 locality name",2
jamuflor b.v.,1
b employer identification number,2
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
quality software solution,1
"edgeware management group, inc.",1
eastern area community ministries,1
advance eic payment,2
social security tips,2
incredible things happen architecture,1
dealer income development,1
fedd dou,0
christopherburgh in 77498-4069 14 other (see enclosed notice to employee) | 12c,2
e employee's first name and initial last name,2
ashantae mansueto,0
"cynergy group, llc",1
b employer identification number,2
duurzaam perspectief,1
leanid farris,0
818 group,1
smd agency,1
10 dependent care benefits,2
tammy land nd 15001-0572,2
world ministry fellowship,1
fabrícia shehan,0
torres-vega furnace,0
padhraic manhart,0
abs engineering & trading sdn bhd,1
tristar financial,1
employe lan sick pay,2
14 other (see enclosed notice to employee) 12c,2
yasma guckenberger,0
department of the treasury--internal revenue service,2
social security tips,2
relevate auto,1
paddock mancio-zambia,0
correct nederlands,1
department of the treasury--internal revenue service,2
ecoriginals,1
wage and tax,2
malaysiah beverlin,0
cagney schenck,0
simkins hakala,0
"c employer's name, address, and zip code",2
zeyana issacs,0
daylah heany,0
federal income tax withheld,2
shavani reschke,0
e employee's first name and initial last name,2
gossip girls,1
hilmir baudoin,0
cherylle marenco,0
consularia limited,1
reissued a employee's social security number,2
social security tips,2
sayesha sandeepa,0
ödön langloss,0
161196.24 26235. 45 lisa land,2
sunnydene country hotel,1
tanberg dannatt,0
webvortex internet solutions,1
wolfcraft,1
luvenia iacovone,0
daugherty systems,1
mahaan ferdin,0
brettnie carias,0
stampart gráfica & design,1
11 nonqualified plans,2
omb no. 1545-0008 fast! use nsew file at www.irs.gov/efile.,2
grow food northampton,1
kinnith ray,0
salomé nabhan,0
akşan group,1
omaria huver,0
pub crawls,1
"c employer's name, address, and zip code",2
11 nonqualified plans,2
214469.25 37627.37 sandra grove,2
department of the treasury--internal revenue service,2
stien mart,1
this information is being furnished to the internal revenue service.,2
rainers kinyoun,0
garciaside ne 06534-6570,2
brown wood preserving co,1
decio granie,0
arielyn balsam,0
jamuel litter,0
analysia parral,0
"c employer's name, address, and zip code",2
dyshaun fontenot,0
clarendon desola,0
kraska center,1
56093.34 6898.49 tommy alley,2
jamison well drilling inc,1
wage and tax,2
13 statutory retirement third-party 12b,2
federal income tax withheld,2
nc 697-69-396 108056.42 9963.82 182872.47 24159.23 perez fort,2
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc 19 local income tax 20 locality name",2
form w-2 statement,2
lucas automotive limited,1
lunamarie fricks,0
4581 mary manor apt. 944,2
tag chauffeured services,1
openstor s.a. de c.v.,1
fizzy inc.,1
valor network,1
resource group holding,1
konektor social,1
damita hansel,0
salazarberg or 71712-6613,2
this information is being furnished to the internal revenue service. if you are required,2
bisceglia kriske,0
"safe, accurate, se file",2
deseray quatto,0
magenx,1
federal income tax withheld,2
bootstrap advisors,1
reissued employee's social security number,2
everara lacek,0
ailiedh novello,0
d control number,2
jakeryan schuble,0
world federation health professionals,1
applewhite venner,0
scilla penate,0
fish hook careers limited,1
sealtiel mazzola,0
progression boats,1
kassa cherry,0
canterbury college queensland australia,1
the irg community,1
15 state employer's state id number,2
department of the treasury--internal revenue service,2
celiac.com - celiac disease and gluten-free diet information since 1995,1
emplove lan sick pay,2
or 742-49-979 103189.39 8839 . 49 160090.51 39995.77 michael points,2
ehip,1
alizza gallander,0
"inawecoaching, llc.",1
10 dependent care benefits,2
takcola leber,0
oag investments limited,1
miachel hengst,0
johnrussell zambito,0
"c employer's name, address, and zip code",2
strategy inked ltd,1
federal income tax withheld,2
basic visual id technologies - india,1
development partners international,1
kinetic smart solutions,1
sivad gonzalez-ramos,0
era contour b.v.,1
oluwagbemiga jakubczak,0
angeliqua heilbrun,0
amplify church,1
katyann tontarski,0
mirai motors toyota,1
vanderpool & pearman,1
ga 441-23-332 30006. 94 1893.31 45049 . 51,2
fletco carpets a/s,1
heritage park dental,1
uniqleads research,1
the housing initiative,1
15 state employer's state id number,2
naohmi anish,0
rostyslav porterfield,0
svannah pawluk,0
11 nonqualified plans,2
jacole boole,0
social security tips,2
"consolidador, lda",1
kelly's kloset,1
davlyn investments property management,1
gathel lale,0
foodstock farmers market,1
kamdilichi kircher,0
engineered castings,1
e employee's first name and initial last name,2
barber creek veterinary hospital,1
laileigh westermann,0
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
diatomenterprises,1
"c employer's name, address, and zip code",2
as seen on tv store ltd.,1
wv 590-50-014 94699. 54 5457. 04 138246. 18 19774.86 smith crossing,2
east erica hi 69120-2527,2
14 other (see enclosed notice to employee) 12c,2
"safe, accurate, se ~ file",2
dependent care benefits,2
department of the treasury--internal revenue service,2
edcreate technologies private limited,1
"c employer's name, address, and zip code",2
parsaye dehoff,0
echemendia denaro,0
hoffert sunkel,0
richard hall community mental,1
ofeliya noteboom,0
nvn,1
social security tips,2
medicare wages and tips,2
rama concept,1
advance eic payment,2
descombes packer,0
sequina arregui,0
beaconinside - proximity dmp,1
nakesia luloff,0
reissued employee's social security number,2
cyanthia armando,0
lloyd motors,1
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc 19 local income tax 20 locality name",2
fardi creegan,0
sharion mikesell,0
xenija jarvi,0
360 adventures llc,1
beddoe malory,0
15 state employer's state id number,2
14 other (see enclosed notice to employee) |12c,2
electrical audio inc,1
rbvair 72f,1
pepin sloman,0
artavious luderman,0
karlita engelbrecht,0
sonny delgado-sanchez,0
open up resources,1
nuskin enterprises,1
markeis lorquet,0
8 allocated tips,2
decipher works,1
eikeo,1
kharisma vickers,0
themistoklis phommaseng,0
sinergia serviços,1
benton silk screening,1
d control number,2
medicare tax withheld,2
"wages, tips, other compensation",2
milek heide,0
social security wages,2
shakespeare & co lexington ky,1
"wages, tips, other compensation",2
east yolandaland or 37199-3967 14 other (see enclosed notice to employee) | 12c,2
darval loughry,0
gateway germany,1
rugen fusca,0
this information is being furnished to the internal revenue service.,2
medicare tax withheld,2
jahvonte bried,0
ozwald dively,0
bure valley railway (1991) limited,1
d control number,2
hayka sherron,0
peacock foods ltd,1
social security tips,2
jolisa birkhimer,0
st pete run fest,1
visit the irs website,2
cornelia kamala,0
"signature finance and consulting, llc",1
inlinkuk,1
success forever,1
ninoshka kjeldgaard,0
andrianna logsdon,0
santa cristina fomento mercantil,1
form w-2 statement,2
timmers architecten,1
juays photography,1
(see enclosed notice to employee.),2
mobile metals,1
motornacional.com,1
burcker stabile,0
sealtainn buonocore,0
social security tax withheld,2
cadie-lee jeanmard,0
priit pullins,0
social security wages,2
jaymian goettle,0
in-cahoots film nights,1
bit trading co.,1
sinta rison,0
jonasson leve,0
12a see instructions for box 12,2
"j. kowan consulting, llc",1
e employee's first name and initial last name,2
d control number,2
west erinfort wy 45881-3334,2
atom designs,1
"16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc. 19 local income tax 20 locality name",2
ulyssis bangura,0
cumbess shivnath,0
federal income tax withheld,2
adeeb grossi,0
attenborough opatz,0
sláva roopnarayan,0
panofoto.cz,1
spotlight technology ltd.,1
soki hasen,0
asala holding,1
northern ri chamber of commerce,1
tav bookkeeping services,1
232898 . 85,2
pcmag.com,1
manus sandee[,0
e employee's first name and initial last name,2
d control nun,2
joshuapaul sylvest,0
scope architectural consulting,1
datdoeikwel.nl,1
hardnett thomlinson,0
north johnnyburgh al 82999-567 14 other (see enclosed notice to employee) | 12c,2
smriti hinrichs,0
this information is being furnished to the internal revenue service. if you are required,2
jobtrolley recruitment consultancy,1
oaks north animal hospital,1
demicheal magyar,0
"videonet, inc.",1
bill suhr design,1
hssmi limited,1
13 statutor retirement third-party,2
freetii patonai,0
salamon ermert,0
joseph-alexander donlon,0
enda fiorini,0
vjam technologies ltd,1
federal income tax withheld,2
d control nun,2
15 state employer's state id number,2
harminder wipprecht,0
pathsight predictive science,1
calob mccloskey,0
marketingmix,1
department of the treasury--internal revenue service,2
south patrick ms 74154-4520,2
revo,1
socorrismo málaga sl,1
charlie-alexander eisenbarth,0
karn carrao,0
cinemalab,1
jasinto iacovetto,0
immix health,1
doğukan jezierski,0
employee plan sick pay p |142,2
ut 468-14-078 78988.79 7248.27 199727.67 25618.08 hoffman turnpike,2
armandina foth,0
"collège don bosco, oeuvre don bosco",1
siena decor inc.,1
sherrille buitrago,0
ar 061-66-766 92631.02 4482 . 0,2
trevar wessinger,0
eugene police department,1
finling associates ltd,1
isreal ruffel,0
c&h international,1
dquarius dunnivan,0
khaleesy cendana,0
ramchandr riggleman,0
darrill honma,0
joyanna sither,0
jaako bellessa,0
institute of physics of the national academy of sciences of ukraine,1
motörhead,1
yusayrah geyette,0
medicare wages and tips,2
aengus thole,0
bf racing,1
emplove plan sick pay,2
tyrea dillenburg,0
virnelli olsten,0
asa online,1
jürdine hassinger,0
shms contracting,1
"c employer's name, address, and zip code",2
cut here. keep lower portion for your records.,2
kelyse soffel,0
cosmetic surgery institute,1
pro union,1
pharmascope pty ltd,1
strand trygve,1
emplove lan sick pay,2
creativebold studios llc,1
fayetteville high school,1
cerciz boblitt,0
astfin gauteng (pty) ltd t/a assetfin,1
bastienne ambeau,0
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc. 19 local income tax 20 locality name",2
national tire warehouse,1
abord security services ltd,1
dependent care benefit,2
calisce depaz,0
"16 state wages , tips , etc . 17 state income tax 18 local wages , tips , etc 19 local income tax 20 locality name",2
elysian auto service llc,1
medicare wages and tips,2
the village club,1
rodriguez-duran vanloon,0
croatian association of landscape architects,1
158095. 19 18871.51 lauren rest,2
copy b--to be filed with employee's federal tax return,2
omb no. 1545 -0008 this income is taxable and you fail to report it.,2
cornwall advocacy,1
yuuka cugini,0
arieta reidling,0
mercury investment,1
royal family kids,1
startersadvies tilburg,1
bylgja tollner,0
"safe, accurate, se file",2
gam group global,1
14 other (see enclosed notice to employee) | 12c,2
11 nonqualified plans,2
paradise international,1
navarrete szanto,0
"purify, llc",1
intelnet services,1
gabie hensley,0
umbrella protection systems pvt ltd,1
donuts the store,1
form w-2 statement,2
miani demeester,0
rhule embelton,0
halavais hoschek,0
tecnyhostel,1
arni reisig,0
the bell center,1
daewon krnach,0
12a see instructions for box 12,2
denazia etulain,0
balancity,1
ideal architecture,1
chaketa pritzel,0
fredell syverson,0
pipra,1
rousey demarce,0
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc 19 local income tax 20 locality name",2
"safe, accurate, se v file",2
samael cunigan,0
social security tax withheld,2
88640 french plaza suite 459,2
fleetmark group pty ltd,1
"c employer's name, address, and zip code",2
maza consultores,1
"the minister of health, llc",1
edena piette,0
advance eic payment,2
op zoek naar een nieuwe uitdaging,1
same condition,1
d control number,2
creative web mobi,1
advance eic payment,2
mayfield medical,1
anna-leigh helmsjr,0
rivmedia digital services,1
ny 012-85-500 65843 . 88 3922.03 133226.24 25025. 7 bennett forks,2
copy b--to be filed with employee's federal tax return,2
repcold distributors inc,1
10953.1 stephanie branch,2
architects for business,1
15 state employer's state id number,2
