context,label
jiyan westenbarger,0
suweyda rupley,0
reissued a employee's social security number,2
ericc timpson,0
reissued employee's social security number,2
urban chic bv,1
b employer identification number,2
11 nonqualified plans,2
department of the treasury--internal revenue service,2
cut here. keep lower portion for your records.,2
reset spain,1
boman communications/pr network denmark,1
3 statutor retirement third-party 126,2
13 statutory retirement third-party 126,2
social security tax withheld,2
wage and tax,2
"wages, tips, other compensation",2
social security tax withheld,2
fearghal spira,0
cut here. keep lower portion for your records.,2
hungerista network private limited,1
allyiah laclair,0
shvonne holms,0
advance eic payment,2
atul denyes,0
combix inc.,1
unilever bangladesh limited,1
13 statutory retirement third-party 12b,2
jean-pierre widen,0
kenzye goga,0
odran vallelonga,0
jaymin reisch,0
opulent realty,1
nakeita emdee,0
navadah ramjeet,0
casein nadine,0
iresha capati,0
016 pam stravenue apt. 006,2
weyermann gilding,0
department of the treasury--internal revenue service,2
xmx,1
power brands ltd,1
roselind avarbuch,0
spss limited,1
clines rabold,0
advance eic payment,2
hemleta opiola,0
easyequities,1
advanced berlin communications,1
"scholastic sports services, inc.",1
gilmartin podolak,0
constanze aleesha,0
waymore,1
future fuels limited,1
nehru homoeopathic medical college & hospital,1
maiga arlia,0
squash,1
iokepa cherrette,0
delaili racano,0
lesle corum,0
lianny len,0
social security tax withheld,2
rodriguez-cabrera boisselle,0
medicare wages and tips,2
instinet pacific services limited,1
copy c for employee's records.,2
ryon juve,0
e employee's first name and initial last name,2
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
lillie beckendorf,0
farhanah kaye,0
wildee camaron,0
murguia bisaillon,0
dayron bormuth,0
symponia,1
von-grap advogados,1
claborne banasiak,0
digital medical records management,1
action emploi,1
coleton urbas,0
emonkey marketing,1
wage and tax,2
360 home inspections llc,1
baelynn wimble,0
cadence-lee guidetti,0
power-wheels,1
roben chey,0
medicare tax withheld,2
d control numb,2
e employee's first name and initial last name,2
ruiz-millan rooke,0
diorios,1
12a see instructions for box 12,2
sullivantown la 11138-1066,2
b employer identification number,2
cervesia tecnologia cervejeira,1
khiri adkins,0
e employee's first name and initial last name,2
alvara mahall,0
hotels rewards lb,1
beacher sprout,0
millay sanjuan,0
wage and tax,2
beqir jaynes,0
nyrell henry,0
somdevi sickle,0
reighlynn whitwell,0
department of the treasury--internal revenue service,2
perrier tp,1
reissued a employee's social security number,2
"effect comunicação, lda",1
norbu everage,0
ensemble scolaire notre dame,1
this information is being furnished to the internal revenue service. if you are required,2
cut here. keep lower portion for your records.,2
medicare tax withheld,2
employer plan sick pay,2
f employee's address and zip code,2
b employer identification number,2
brystal vancura,0
kathrynann whitebird,0
posada dellapaolera,0
camden show society,1
fanter atay,0
ortygia business school,1
annalyne detering,0
edelweiss eskind,0
bisson lupfer,0
savannah-leigh benny,0
kinh mcaveney,0
e employee's first name and initial last name,2
martene manteuffel,0
d control number,2
grupo astor,1
hermance carmello,0
12a see instructions for box 12,2
north anita tx 93154-3766,2
de 466-92-764 23021 .44 3176.34 62605.72 6247. 67 rowe valleys,2
b employer identification number,2
linguedo,1
locomotion,1
dans cycle,1
omb no. 1545-0008 fast! use nsew file at www.irs.gov/efile.,2
lorelie obey,0
13 statutory retirement third-party 12b,2
omaida staudt,0
reissued a employee's social security number,2
sparebank 1 forsikring as,1
apposite capital llp,1
faima sant,0
"usbergo, inc",1
owensbury ar 85542-7318,2
yadria beetz,0
saab law group,1
lakesia narander,0
f employee's address and zip code,2
benboa,1
copy b--to be filed with employee's federal tax return,2
fiorenza labelle,0
b employer identification number,2
west jenniferborough ks 40133- 14 other (see enclosed notice to employee) | 12c 707,2
reissued a employee's social security number,2
vladamar helfenstein,0
south kyle fl 37965-3104,2
sager elko,0
crescent accountancy solutions limited,1
gartencenter münsterland,1
joangel ogwynn,0
pillucere gonzalez-gonzalez,0
east matthew nm 85336-2561,2
"safe, accurate, se ~ file",2
khian kipka,0
trennan dudziak,0
videostream360 gmbh,1
omrab gc,1
medicare tax withheld,2
11 nonqualified plans,2
entered apprentice pictures,1
wage and tax,2
lizza neiffer,0
chukker.tv,1
valeire boshell,0
fridholm & partners ab,1
fortenberry markakis,0
obbard magana,0
ticnova,1
dyals monks,0
busy season staffing solutions psc,1
lisveth skokan,0
medicare tax withheld,2
cravings cafe gourmet express,1
goniodex constructions,1
kaisy penird,0
194 gilbert rue,2
new catherine wy 93672-4822,2
performance sound s.c.a.r.l.,1
wage and tax,2
emmylia burghardt,0
spark - your electric drive,1
alacrity technologies pvt. ltd.,1
.tiff,1
copy c for employee's records.,2
watermark docklands,1
carolena keay,0
"safe, accurate, se file",2
monroe county adult education,1
yingke law firm,1
deniecia prucnal,0
hot nail salon,1
la regina cruise - halong bay cruise,1
lashena berdecia,0
codington elementary school,1
audia chevrolet,1
this information is being furnished to the internal revenue service.,2
social security tips,2
jamayel kocka,0
8 allocated tips,2
chaney blaxton,0
nj 582-81-947 20867 . 88 1764.55 39562. 9,2
vitesse asesores,1
caneisha amberg,0
fédération du service aux particuliers (fesp),1
marcopolo nicar,0
f employee's address and zip code,2
maleka zurowski,0
brampton christian school,1
elmer ambulance corps,1
medicare tax withheld,2
certec,1
nastafa annu,0
natarsha whitworth,0
ladaysia cruz-perez,0
wetheringtion golf and country club,1
bio crest pharma inc,1
visit the irs website,2
nikiea occhino,0
hsa steinruck,0
st. luke lutheran community,1
marder limited,1
marcyniuk finstad,0
e employee's first name and initial last name,2
the malaysian dotcom sdn bhd,1
droidmod,1
libório nagasawa,0
e employee's first name and initial last name,2
johnavin chuh,0
central jersey medical group,1
office national canning vale,1
10576 wheeler corners suite 308,2
omb no. 1545 -0008 this income is taxable and you fail to report it.,2
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc. 19 local income tax 20 locality name",2
ezzell paolicelli,0
luisjose reuer,0
paradisco,1
"safe, accurate, se file",2
viccora perr,0
reissued aemployee's social security number,2
cypro lomonaco,0
omb no . 1545 -0008 this income is taxable and you fail to report it.,2
mosaico produzioni,1
montique ferribee,0
stichting rhiza,1
shipoffers,1
akitoshi bahamonde,0
e employee's first name and initial last name,2
d control number,2
adre matassa,0
rhaegan schipper,0
kimberley-jo cobbins,0
maeci fashaw,0
muhammadmustafa septon,0
the energy credit union,1
"c employer's name, address, and zip code",2
albertus magnus gymnasium,1
jernej barmes,0
meridian services net,1
department of the treasury--internal revenue service,2
0681 tyler ports,2
"advantage: print, marketing and more",1
katsura wicklow,0
emballages jesswood packaging,1
department of the treasury--internal revenue service,2
"the israel museum, jerusalem",1
avishay ellicott,0
career club nhtv,1
nleventmakers,1
central presbyterian church cambridge,1
tecmar engenharia,1
b employer identification number,2
ethan-jack warrington,0
hippolyte gottman,0
employe plan sick pay,2
department of the treasury--internal revenue service,2
federal income tax withheld,2
darein steimle,0
melanie-jane zaldana,0
munisa eon,0
this income is taxable and you fail to report it.,2
"c employer's name, address, and zip code",2
b employer identification number,2
lake dawn pa 27721-0412,2
mooc 7 semaines,1
najila cheng,0
lamadline hierrezuelo-zamora,0
maria mallaband care group,1
salahaldeen altherr,0
lake garystad oh 61460-8259,2
ilwaad vilandre,0
brand printing,1
leo digital media,1
eatdigital,1
integre consulting ltd,1
"safe, accurate, se file",2
kyonte nute,0
medicare wages and tips,2
stepping stone foundation,1
(see enclosed notice to employee.),2
dectrick zaugg,0
the best community bank in the world!,1
"16 state wages , tips , etc. 17 state income tax 18 local wages , tips , etc . 19 local income tax 20 locality name",2
lm marketing group srl,1
leib pramuk,0
antwerp polo club,1
ets - european translation service,1
myjah okimoto,0
bvs trans tech,1
zaheem waggett,0
hampshire chambers of commerce,1
b employer identification number,2
"opus interim human resources, recruiting",1
hastings shopmobility,1
b employer identification number,2
f employee's address and zip code,2
south beach cleaning,1
gravesberg nv 58721-2511,2
evajane funderburk,0
social security wages,2
12a see instructions for box 12,2
mcdonaldhaven ar 26798-0532,2
"16 state wages , tips , etc. 17 state income tax 18 local wages, tips , etc 19 local income tax 20 locality name",2
eparama mccornick,0
e employee's first name and initial last name,2
betterground (hk) ltd,1
yarelly leckman,0
llyall bonillas,0
zennut,1
michelle binette design,1
6644 whitehead knolls apt. 812,2
b employer identification number,2
"5 state employer's state id number 16 state wages, tips, etc. 17 state income tax 18 local wages, tips, etc 19 local income tax 20 locality name",2
philbert narinder,0
hezakiah pleppo,0
pangeox software solutions,1
umaamah rhue,0
copy c for employee's records.,2
public international law and policy group,1
6370 eileen village,2
ajkune scheyer,0
this information is being furnished to the internal revenue service.,2
"wages, tips, other compensation",2
employe lan sick pay,2
norsecraft geo ab,1
p j keary ltd,1
trooptravel - where do we meet?,1
mihe santaniello,0
"c employer's name, address, and zip code",2
edora herbolsheimer,0
waine strater,0
fm financial services,1
alila rosenblum,0
candelo altider,0
kestrel saulo,0
judyann vanwagenen,0
davistown il 03189-9965,2
alvis/o'vallonjr hurm,0
alfamex,1
form w-2 statement,2
frayia raczkowski,0
ohio property management,1
stevie-rose zollinger,0
emerson search llc,1
"16 state wages , tips , etc. 17 state income tax 18 local wages , tips , etc. 19 local income tax 20 locality name",2
giambattista goucher,0
social security tax withheld,2
71 nonqualified plans,2
mi 489-99-964 110343.19 11983.68 162784.25 21521.52 carl extension,2
piemontese social club,1
dalary markette,0
social security tax withheld,2
cut here. keep lower portion for your records.,2
14 other (see enclosed notice to employee) | 12c,2
14 other (see enclosed notice to employee) | 12c,2
thayne lacroix,0
superme,1
argyrios sisley,0
12a see instructions for box 12,2
makegood software,1
samuraiko productions,1
sincerus,1
efimia sweep,0
12a see instructions for box 12,2
trinité lamper,0
cyzner properties,1
chisimdi earlywine,0
9y communications,1
15 state employer's state id number,2
zwartzweeds,1
kresha beagan,0
east sheila wa 43007-1253,2
sowar pvt ltd - india,1
maryland & virginia milk producers cooperative,1
teniyah leota,0
reissued employee's social security number,2
archie-lee hegel,0
temple family medical ctr,1
orthopedic fixation systems,1
jerius barrass,0
mikeia tiwankle,0
janei joyaa,0
social security wages,2
tharun heilig,0
9701 denise hill suite 926,2
shynita muhlhauser,0
marketing mix consultancy,1
herman group real estate,1
sherrena schmeling,0
kharche & associates - india,1
chedzoy butterworth,1
wage and tax,2
mossmouth ca 98222-2989,2
next-team,1
growing up inc.,1
carrocci chiglinsky,0
hauselt gahl,0
ariatna marade,0
xcdes,1
"wages, tips, other compensation",2
fault radio,1
social security tax withheld,2
social security tips,2
jaress linfante,0
opswerks,1
nadina ellerkamp,0
softmakers bv,1
risk ™  limited corp,1
emilyton ms 01410-6496,2
gedling community & voluntary services,1
celeste san francisco,1
e employee's first name and initial last name,2
www.stimpson.co.nz,1
"diseños y estuches,s.a. de c.v./ grupo cristal joyas",1
"wages, tips, other compensation",2
medicare wages and tips,2
gedalia tipold,0
dependent care benefits,2
soart innovations ltd.,1
hotel am triller saarbrücken,1
hajra seppelt,0
skyrock group-fuchia( kunshan) electronic co;ltd,1
summer- legra,0
"c employer's name, address, and zip code",2
ibbo nater,0
imajen reimund,0
prithvi group of companies,1
reann veeru,0
16746 corey cape suite 992,2
zyreion wendelberger,0
namaan grasmick,0
diamond cutters international,1
apereo foundation,1
44758 salinas viaduct,2
gillette import autowerks,1
14 other (see enclosed notice to employee) | 12c,2
75790 katherine stream suite 017,2
paredes valela,0
"all about people ltd - counselling services, leamington spa",1
aalina joyner-jordan,0
visit the irs website,2
sunridge mall,1
comiccon lahore,1
roane medical center,1
kiry sueltenfuss,0
electrolux logistics italy spa,1
pyles oullette,0
dependent care benefits,2
88470 elizabeth course suite 959,2
akel sather,0
marozas perrotti,0
imhotep kovacs,0
9791 april mountains apt. 514,2
liquid leisure limited,1
medicare tax withheld,2
danny ginges,1
major medical supply,1
8 allocated tips,2
omb no. 1545-0008 this income is taxable and you fail to report it.,2
ctss,1
austrian national tourist office,1
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
zyliah htwe,0
mykola throne,0
"to file a tax return, a negligence penalty or other sanction may be imposed on you if",2
ppop,1
social security tax withheld,2
dependent care benefit,2
reissued employee's social security number,2
ford brothers inc. auctioneers,1
"vages, tips, other compensation",2
mahathi pregeant,0
lake paulaton al 32422-7836,2
reissued a employee's social security number,2
jy show tech group,1
department of the treasury--internal revenue service,2
matvei wasmund,0
daxin teet,0
medicare wages and tips,2
cherylfurt nh 46018-0790,2
6 medicare tax withheld,2
faible - studio for visual concepts & creation,1
excard research gmbh,1
solutions financial,1
sandvaer group,1
buc - balanced urban capital,1
mensur shriner,0
peitsa kline,0
bernardus enama,0
"safe, accurate, se ~ file",2
wage and tax,2
kustas singley,0
malabar house,1
wannette margaryan,0
ameliarae villatoro,0
aldrich berry farm & nursery,1
creativecow.net,1
festus voisard,0
north brendaborough mn 17439-6398,2
aaylah-rose bourgois,0
janaina phanord,0
eyoon ‬real estate and development,1
merrielle mcelmurry,0
eachainn leuenberger,0
quality dentistry for kids & grownups,1
ali hussain builders,1
nazgul normoyle,0
ok 276-11-828 92341. 45 3662 .0,2
ranada wedige,0
tx 621-42-334 134518.25 13917.31 291386.16 13947 . 24 sanders meadow,2
latarisha westman,0
omb no. 1545-0008 fast! use rsev file at www.irs.gov/efile.,2
oceanopolis,1
burston chamers,0
goepel electronics usa,1
modern design online design service co.,1
advance eic payment,2
btkzorg,1
moguel morlas,0
vt 820-76-699 94098.77 7081 . 58 154189 . 89 28296.77 sandra cliff,2
nexx verlag gmbh,1
resource team company,1
alisonton al 62907-3812,2
brandise gribbin,0
parviz akiereisen,0
digitalbits brazil,1
interiors by coastline,1
advance eic payment,2
nikla vijayta,0
wage and tax,2
ashanjali laurent,0
sansun technology institute,1
dependent care benefits,2
hildebrand motors,1
e employee's first name and initial last name,2
donalisa photography llc,1
b employer identification number,2
9163 katie field,2
robann khushi,0
arnita mruczek,0
imperial plastics,1
hiroma,1
gestione asesores,1
medicare wages and tips,2
d control number,2
federal income tax withheld,2
bizybuilder.com,1
ehrhardt mcchesney,0
e employee's first name and initial last name,2
molocar,1
this information is being furnished to the internal revenue service. if you are required,2
vittalia internet,1
11 nonqualified plans,2
burd home health,1
11 nonqualified plans,2
calsta pty ltd,1
"c employer's name, address, and zip code",2
kram s.a. de c.v.,1
zimmie giacobbe,0
traevin geeta,0
reissued employee's social security number,2
amandra leelu,0
chinani braunwarth,0
"the william lawrence group, llc.",1
ogochukwu groth,0
elfar linet,0
federal income tax withheld,2
"wages, tips, other compensation",2
truman w smith ctr,1
diamondstad al 39753-0161,2
employee plan sick pay,2
10 dependent care benefit,2
estis,1
ii 233-91-771 24422. 51 2635.35 37690.63 7192.76 nicolas field,2
14 other (see enclosed notice to employee) | 12c 115,2
basharat kivel,0
glacier bay capital,1
cassia attore,0
drawn by illustration + design,1
social security tips,2
"16 state wages, tips , etc. 17 state income tax 18 local wages , tips , etc. 19 local income tax 20 locality name",2
magication,1
artech consultoria,1
quality control services (holdings) ltd,1
nazhir jong,0
department of the treasury--internal revenue service,2
marqurita abdullai,0
department of the treasury--internal revenue service,2
peak performance tennis academy hong kong,1
department of the treasury--internal revenue service,2
louree brundidge,0
kollege town,1
bronc kroetch,0
b employer identification number,2
3425 munoz village suite 319,2
13 statutory retirement third-party 12b,2
jeliyah carville,0
scholengroep 19 'dender',1
pod cubed,1
"c employer's name, address, and zip code",2
informacine raida,1
shiya radenheimer,0
kufeldt bateson,0
berardinelli lorence,0
khizar kiedaisch,0
122272 . 62,2
"government kanyakumari medical college (inst. code - 087), kanyakumari",1
lake alexandermouth ri 36627-8260,2
