,context,label
0,"Alvarado, Simpson and Moody and Sons",1
1,Donald Berg,0
2,Samantha Thompson,0
3,Jennifer Jefferson,0
4,Oscar Hill,0
5,Brittney Ward,0
6,Hines LLC Group,1
7,Jason Patterson,0
8,Susan Evans,0
9,Internal Revenue If required STATEMENT,2
10,"Horn, Freeman and Fuentes Inc",1
11,Allen Group LLC,1
12,withheld c ZIP code Social,2
13,box    ,2
14,tax withheld Social security tips,2
15,"Lane, Mcguire and York LLC",1
16,Employer identification number compensation Federal,2
17,Garrett Williams,0
18,"Pierce, Lewis and Frost Ltd",1
19,Hart and Sons LLC,1
20,Barnes Ltd Group,1
21,Alexander-Bray LLC,1
22,security tax withheld Medicare wages,2
23,Brendan Vaughn,0
24,"Hancock, Huff and Franco Group",1
25,tips Control number Advance EIC,2
26,Phelps Inc Inc,1
27,penalty sanction may imposed STATEMENT,2
28,Anderson LLC Ltd,1
29,Aaron Swanson,0
30,payment  Dependent care benefits,2
31,Duncan-Diaz LLC,1
32,Young Ltd LLC,1
33,Foster PLC PLC,1
34,Thomas-Howe LLC,1
35,Moreno LLC Group,1
36,Mary Wright,0
37,Kathleen Guerrero,0
38,Phillip Carroll,0
39,Murphy-Zimmerman Group,1
40,Matthew Morris,0
41,Patrick Lee,0
42,  Other enclosed Notice,2
43,Dr. Victoria,0
44,"Johnson, Burton and Burton Group",1
45,"White, Thompson and Blackburn Group",1
46,Melanie Hardin,0
47,Julie Torres,0
48,Benjamin Myers,0
49,Perry Inc PLC,1
50,tips etc  Local income,2
51,plans a See instructions forbox,2
52,Phillip Garcia,0
53,Harper and Sons and Sons,1
54,Gerald Green,0
55,withheld c ZIP code Social,2
56, Local income tax ,2
57,"Gordon, Meyers and Donaldson PLC",1
58,Franklin Group Group,1
59, Local income tax ,2
60,Nathan Barnett,0
61,Michael Alexander,0
62,Tucker-Jones LLC,1
63,initial Last name  Nonqualified,2
64,wages Social security tax withheld,2
65,Lisa Brown,0
66,Hernandez Inc PLC,1
67,Department ofthe Revenue Service Form,2
68, d E  f,2
69,Day and Sons Group,1
70,instructions forbox  Greer ,2
71,name initial Last name ,2
72,Aguirre Ltd and Sons,1
73,Jessica Woodard,0
74,  Statutory Retirement b,2
75,Joshua Cohen,0
76,care benefits   e,2
77,Michelle Gilbert,0
78,Brandon Charles,0
79,care benefits  e firstname,2
80,Bush Inc Inc,1
81,Tiffany Ramos,0
82,penalty sanction may imposed STATEMENT,2
83,G   Statutor Retirement,2
84,William Stein,0
85,Timothy Smith,0
86,Be Filed FEDERAL Tax Return,2
87,Rhodes Group Ltd,1
88,Service Form Statement Copy Be,2
89,Tony Houston,0
90,Jimenez PLC Ltd,1
91,Haley Inc LLC,1
92,State state ID number ,2
93,Christopher Moore,0
