context,label
Deborah Graham,0
d  ,2
Service Form Statement,2
Scott Gateway Apt.  Kimberlystad TX,2
Smith Plain Suite  South Dustinside GA,2
Revenue Service Form,2
Perez Lakes Suite  Williamberg HI,2
Erica Junction New Alyssa MT,2
Vazquez-Zuniga LLC,1
Carlos Brown,0
Salinas Forest Port Catherine DC,2
Taylor Track Hillbury KS,2
Jessica Robinson,0
Amanda Sanchez,0
Miller Stream Petersmouth IN,2
x H ,2
Jose Collins,0
Donald Berg,0
Jason Barnett,0
sanction may imposed,2
Kayla Hollow Apt.  North Lisa IL,2
Moreno Prairie Port Marthaport ME,2
tips Medicare tax,2
Statutory Retirement b,2
Sharp-Patel Group,1
David Ltd and Sons,1
Gray Well Apt.  Paulside OH,2
Philip Fall Port Chelseaburgh MT,2
Carter-Bonilla Group,1
REISSUED social security,2
Michael Fisher,0
Laura Nelson,0
Cory Falls East Robert KS,2
Stephen Scott,0
William Fox,0
Bobby Bypass North Gabrielleland SD,2
Brooks-Davis and Sons,1
Paula Logan,0
Kirsten Island Seanberg TX,2
Richards Islands Suite  East Jeffrey IN,2
Jon Ports South Lindamouth KY,2
ZIP code ,2
 State tips,2
Dr. Jason,0
Michael Way North Michaelview SD,2
Larry Forks West Melissaland FL,2
Teresa Circles Alexandershire DE,2
Jeremiah Adkins,0
Medicare tax withheld,2
Notice c P,2
portion REISSUED social,2
Mann-Cox LLC,1
information furnished Internal,2
James Glens Apt.  Gregoryport SD,2
State wages tips,2
 f address,2
Barrett-Richardson Ltd,1
Heather Peters,0
STATEMENT OMB Use,2
Elijah Smith,0
Jones Track South Jennifertown TN,2
Jessica Lawrence,0
Ellis-Wilson LLC,1
Brown Ridge South Davidtown MA,2
Richard Morton,0
Thompson Light Brianburgh VA,2
Wood Circles Thomashaven NJ,2
Quinn-Allen Ltd,1
King-Smith Inc,1
Brian Webb,0
security tax withheld,2
Goodwin Ridges Suite  Juanview KY,2
Russell Plaza Dixonshire AL,2
Kim Acevedo,0
plans a See,2
Rose Club Suite  South Patrick MS,2
withheld Social security,2
Scott Inlet Suite  East Elizabethchester NH,2
state ID number,2
Martin Groves Apt.  Port Aprilfort NJ,2
nun Advance EIC,2
Davis Hills Apt.  South Justintown WI,2
"Miranda, Steele and Harris Inc",1
Nicole King,0
John Burgs South Alexis NE,2
Wilcox and Sons and Sons,1
  ,2
"Shah, Nelson and Perez Group",1
Wright Ltd Inc,1
Alicia Vista Hernandezfurt WI,2
Davidson-Browning Ltd,1
Rebecca Village North Jeremiah SC,2
Gregory Rodriguez,0
Statement se file,2
"White, Garner and Allen Ltd",1
income tax ,2
Daniel Prince,0
"Cook, Pena and Santiago Ltd",1
tax withheld c,2
Angela Track North Timothyside MT,2
Briana Hall,0
Martinez Rest Suite  Port Nancyburgh HI,2
Castaneda Drives West Maryville SD,2
withheld Medicare wages,2
Norton and Sons PLC,1
D  ,2
George Bender,0
IRS Website STATEMENT,2
Nguyen PLC Group,1
Tracy Jones,0
Warren Tyler,0
Tammy Dale Brandonshire OH,2
lower portion REISSUED,2
"Perkins, Beasley and Randall and Sons",1
Justin Long,0
number Advance EIC,2
Employer identification number,2
West-Krause and Sons,1
Massey and Sons Group,1
b Employer identification,2
  ,2
Ramirez Plains Josephton MD,2
nsew file b,2
Hamilton-Thompson and Sons,1
Shields PLC Group,1
Tax  Department,2
Green-Walsh Group,1
Joan Fischer,0
David Kelly,0
Lisa Walks Apt.  Karenberg NM,2
Stewart Motorway Apt.  West Michael CO,2
"Wilson, Shannon and Smith Ltd",1
Donna Fort South Peterhaven SC,2
Austin Atkins,0
Wilson-Kelly Inc,1
Heather Smith,0
Christine Holland,0
number compensation Federal,2
 Statutory Retirement,2
tips Medicare tax,2
