context,label
tax withheld  Medicare wages,3
Chase Wilkerson,0
Douglas Lodge West Roseburgh VT,2
Franklin Ltd PLC,1
Wilkinson Mall Suite  North Lisa WV,2
c ZIP code social security,3
John Brown,0
Jason Michael,0
Reid LLC Ltd,1
Revenue Service Form Statement se,3
Stacey Jones,0
Butler-Bray LLC,1
 e first name initial,3
Arnold Mills Apt.  Callahanshire NJ,2
Patty Ballard,0
Sarah Mendoza,0
Roth Ridge Lunaville KS,2
Travis Barnes,0
Flores Ltd Ltd,1
STATEMENT OMB income taxable fail,3
Jason Daniel,0
State state ID number ,3
Nash-Riley LLC,1
Andrews Group Ltd,1
E   Other enclosed,3
code  State state ID,3
Joshua Estate Suite  Chandlershire OH,2
security wages Social security tax,3
income tax withheld c ZIP,3
This information furnished Internal Revenue,3
Kyle Murphy,0
Locality name   Wage,3
Michael Hall,0
Morgan LLC Group,1
Tiffany Prairie Cynthiahaven MA,2
Evelyn Washington,0
Jeffrey Escobar,0
Brandon Dunn,0
Control number Advance EIC payment,3
Andres Mills Lake Paulbury OR,2
Smith-Silva Inc,1
enclosed Notice c P ,3
Melissa Springs Suite  Sullivanside UT,2
Sean Flores,0
Holt Group and Sons,1
Edwards-Knapp and Sons,1
Jonathan Mount South Cynthiabury MS,2
"Rivera, Mitchell and Harrison Ltd",1
Calhoun PLC Group,1
"Stokes, Snyder and Oconnell LLC",1
income taxable fail report b,3
Cassandra Gonzalez,0
Park Shoal Apt.  Port Sonya NE,2
Garcia Fort Suite  East Madeline OH,2
Mercado LLC PLC,1
This information furnished Internal Revenue,3
Copy C For Use enclosed,3
Carlson-Thompson Group,1
Newman Heights Port Justin IA,2
identification number compensation Federal income,3
 State income tax ,3
Cisneros-Gonzalez Ltd,1
Cole Camp Andreahaven KS,2
 Nonqualified plans a See,3
Daniel Edwards,0
 G   Statutory,3
initial Lastname  Nonqualified plans,3
Paul Nunez,0
tax withheld  c ZIP,3
name  Nonqualified plans a,3
  Statutory Retirement b,3
Medicare wages tips Medicare tax,3
Teresa Taylor,0
Lauren Nolan,0
Victor Ferry Suite  Josephstad CT,2
Mr. Danny,0
 State income tax ,3
"Ramirez, Martin and Dyer LLC",1
Phelps Inc Inc,1
Johnson Ridge Derekview AR,2
Joseph Adams,0
Robinson-Smith Group,1
tips etc  Local income,3
"Martin, Ryan and Crosby Ltd",1
Social security wages Social security,3
Joshua Cohen,0
Joshua Newton,0
Hardy Ferry West Joelchester NE,2
"Booth, Porter and Berry and Sons",1
Paul Passage Herreraville FL,2
Salinas Viaduct Lake Keith NM,2
income tax  Local ,3
David Park Johnsonton MI,2
Bobby Way Suite  Turnerchester IN,2
Shelby Clark,0
"Mitchell, Mason and Moran PLC",1
Franklin Group Group,1
  State state ID,3
Dr. Karen,0
Christopher Arias,0
Local income tax  Locality,3
Sandra Juarez,0
Kennedy Group Ltd,1
Maria Brook Hawkinsberg LA,2
tips Medicare tax withheld Social,3
John Berry,0
Santos PLC Group,1
Margaret Drive Suite  Thomaston WI,2
Miller Drive Suite  Mooreburgh NH,2
 Department Revenue Service Form,3
Anderson-Ho Ltd,1
Colin Murphy,0
William Squares Port Brian MD,2
Cody Butler,0
Jennifer Island Timside NC,2
OMB income taxable fail report,3
Jessica Keys Apt.  South Christinaton KY,2
"Gillespie, Mckay and Logan PLC",1
tax withheld  Medicare wages,3
"Hamilton, Tucker and Lee and Sons",1
Jeffrey Inlet Suite  Tylermouth AR,2
"Miller, King and Warner Ltd",1
Brandon Contreras,0
"Farmer, Burton and Evans Group",1
Susan Bailey,0
b Employer identification number compensation,3
Duncan Group Ltd,1
Wallace Ltd PLC,1
Cynthia Ruiz,0
security tips Allocated tips Control,3
Cole Kerr,0
William Rodriguez,0
David Cook,0
Nicholas Meyer,0
fail report b Employer identification,3
Michael Ramirez,0
Hale Vista Mariaburgh CA,2
Diaz Lake Suite  West Elizabethstad CA,2
Greer Route West Kyleburgh CO,2
Abbott LLC Ltd,1
Shane Forge Suite  Catherineland NC,2
Padilla-Murphy and Sons,1
Felicia Plains Suite  Wardbury OK,2
Richardson Mountains New Ryan IL,2
Joseph Silva,0
Meagan Walks Apt.  New Jennifer MO,2
Emma Brown,0
Retirement b employee plan sick,3
care benefit   e,3
Ariana Garza,0
Statement Copy Be Filed FEDERAL,3
Allocated tips Control number Advance,3
Murphy-Davies and Sons,1
withheld Social security tips Allocated,3
Karen Inlet North Wendy AR,2
"Burch, Herring and Burgess and Sons",1
Matthew Lewis,0
Employer identification number compensation Federal,3
"Pearson, Adams and Beck PLC",1
Hill-Holt PLC,1
Davis Ltd PLC,1
James Forks North Taylor OR,2
Lisa Adams,0
"Cook, Pena and Santiago Ltd",1
  e first name,3
required file tax negligence penalty,3
Jamie Snyder,0
tax negligence penalty sanction may,3
furnished Internal Revenue If required,3
tips Medicare tax withheld Social,3
Keep lower portion REISSUED social,3
"Bishop, Walton and Joseph and Sons",1
Peterson-Webb Inc,1
Shawn Alley Suite  Larryfort WY,2
Katherine Mcmahon,0
Seth Turnpike Suite  Danielsfort ND,2
Tina Walk Apt.  East Howard MD,2
Michelle Mall East Angelica NJ,2
employee plan sick pay G,3
"Jefferson, Brown and Horton Ltd",1
Elliott LLC PLC,1
Denise Divide West Amanda FL,2
Daniel Wilson,0
Jean Hanson,0
Taylor Parkway East Nataliemouth KS,2
Michael Herring,0
number Advance EIC payment Dependent,3
Notice G  d L,3
"Diaz, Stout and Martin Inc",1
payment Dependent care benefits ,3
"Johnson, Jones and Fuller Inc",1
furnished Internal Revenue If required,3
Huang Mills New Bridget IA,2
sanction may imposed STATEMENT OMB,3
address ZIP code  State,3
security tips Allocated tips Control,3
